feedback_id,created_at,author_type,channel,n_tokens,exclusion_reason,text_redacted,pii_types,category,confidence
F00027,2026-01-09,provider,survey,13,,"Honestly, Notifications arrive hours late so I miss leads Would appreciate a reply",,app_bug,0.6297645091513668
F00028,2025-10-05,customer,support,12,,"Honestly, Quoted one price then asked for more once the work started",,price_dispute,0.9399297398871295
F00029,2025-12-17,customer,review,9,,"So Cancelled on me twice last minute, really unreliable",,provider_no_show,0.9342849025635401
F00030,2026-01-01,customer,support,16,,"Quick one: Sent three messages, no reply for a week Otherwise fine email me at [EMAIL]",EMAIL,provider_communication,0.8891128679596157
F00032,2025-09-03,provider,survey,22,,"Just to say Someone wanting an installation sent to me, I only do repairs, that's on you Second time this has happened",,lead_quality,0.8662963694488913
F00033,2025-11-30,provider,review,13,,uploaded a new profile photo and it shows sideways please sort it out,,app_bug,0.7545398129704521
F00034,2026-01-11,provider,survey,13,,Feedback: Notifications arrive hours late so I miss leads This was in Z07,,provider_no_show,0.8763829428837324
F00035,2025-10-13,provider,review,15,,Feedback: Bought 13 leads this month and only one picked up the phone Not impressed,,lead_quality,0.8946674553243351
F00036,2026-02-28,customer,review,21,,"not happy. really thorough, explained the whole job clearly and finished ahead of time! otherwise fine my number is [PHONE]",PHONE,workmanship_quality,0.8694468554179701
F00037,2025-12-20,provider,review,14,,so customers keep saying they already found someone by the time i call cheers,,lead_quality,0.9030526980917652
F00038,2025-10-10,customer,support,12,,He simply didn't show up on Saturday and went quiet afterwards Cheers,,provider_no_show,0.5656302158399332
F00039,2025-12-15,customer,survey,16,,"So Got one text and then silence, no idea if I have a tradesperson or not",,provider_communication,0.5404013511929501
F00040,2025-10-26,customer,support,15,,So Price on the profile said £39 but he charged £41 per hour Not impressed,,price_dispute,0.9248713852141064
F00042,2025-11-13,provider,review,20,,"honestly, lead was from z28 which i don't even cover, why was it sent to me this was in z28",,lead_quality,0.896733683049044
F00043,2025-10-05,customer,survey,19,,"Felt rushed, didn't finish the sealing properly before leaving Second time this has happened my number is [PHONE]",PHONE,workmanship_quality,0.7708730282882068
F00044,2026-02-23,provider,support,11,,two refunds approved by email but nothing showing in the account,,credits_refund,0.9607067591952908
F00045,2026-01-21,customer,review,19,,"Hi, Left me waiting at the property in Z09 all morning, no message nothing Second time this has happened",,app_bug,0.5618715302880994
F00046,2026-02-27,provider,survey,11,,"Hi, Paid for a lead and the customer's number was disconnected",,lead_quality,0.9224051743689474
F00047,2025-10-01,provider,review,11,,"felt rushed, didn't finish the sealing properly before leaving not impressed",,workmanship_quality,0.8606988404335185
F00048,2026-02-25,provider,support,14,,not happy. the availability calendar doesn't keep my changes after i close it thanks,,app_bug,0.8976157342190171
F00049,2026-02-24,customer,support,10,,"Feedback: Great tradesperson, tidy and methodical, highly recommend Not impressed",,workmanship_quality,0.9135413082517767
F00050,2026-01-28,provider,review,26,,"quick one: was promised my money back for the fake enquiry, 5 days later still waiting second time this has happened I live near [POSTCODE]",POSTCODE,needs_review,0.471741539059811
F00052,2025-11-03,provider,survey,14,,"Hi, Charged for a lead I never accepted, please refund Please sort it out",,credits_refund,0.9291441222514923
F00053,2026-01-03,provider,support,10,,Uploaded a new profile photo and it shows sideways Cheers,,app_bug,0.7909651224908518
F00054,2025-09-18,provider,review,11,,"Honestly, The app crashes every time I open the leads tab",,app_bug,0.90705686854075
F00055,2026-01-04,customer,review,17,,"Honestly, Nobody got in touch after I filled in the form Been using the site since October",,provider_communication,0.920496292362469
F00058,2025-10-04,provider,survey,17,,"update - the customer was actually two counties away, the address must have been typed wrong cheers",,lead_quality,0.7205115696248096
F00059,2025-09-15,customer,review,21,,the multi-day discount on the profile turned out not to exist been using the site since september email me at [EMAIL],EMAIL,needs_review,0.40229473766352786
F00060,2026-01-24,customer,review,26,,"FYI Brilliant at talking me through the options, I was dreading this and it was painless Second time this has happened my number is [PHONE]",PHONE,app_bug,0.6609859926372206
F00061,2025-10-25,provider,support,19,,"Just to say Getting enquiries from people who want work in three months, not now Would appreciate a reply",,app_bug,0.6329437478552221
F00062,2025-09-08,customer,support,17,,"Feedback: Every visit had a clear plan and a recap at the end, finished in 9 days",,workmanship_quality,0.9354857487165856
F00063,2025-10-09,provider,support,17,,"Can't update my coverage zones, the save button is greyed out Been using the site since September",,app_bug,0.8859176367144161
F00064,2025-09-15,customer,support,15,,"Two appointments in a row moved at the last minute, I've lost a week Thanks",,needs_review,0.4888489845764923
F00065,2026-01-03,customer,support,13,,"Quick one: Felt rushed, didn't finish the sealing properly before leaving Not impressed",,workmanship_quality,0.8197076112368978
F00066,2025-10-24,provider,survey,9,,"Feedback: The refund button does nothing, credits just disappeared",,credits_refund,0.9177970143604538
F00067,2025-12-03,customer,review,12,,"Explains things in a way that actually makes sense, worth every penny",,workmanship_quality,0.951865584844179
F00068,2026-01-18,customer,support,17,,"honestly, nobody got in touch after i filled in the form been using the site since september",,provider_communication,0.9261046743829507
F00069,2025-11-24,provider,survey,10,,"same customer sent to me twice, charged twice not impressed",,price_dispute,0.7947451905243947
F00070,2025-09-04,provider,survey,13,,"feedback: the refund button does nothing, credits just disappeared this was in z08",,credits_refund,0.8687946961935175
F00071,2026-01-17,provider,survey,15,,Not happy. Uploaded a new profile photo and it shows sideways Would appreciate a reply,,app_bug,0.9308790356971347
F00072,2026-01-25,provider,support,17,,"just to say site left spotless and every connection checked, felt genuinely professional please sort it out",,safety_issue,0.6298270490787344
F00073,2026-01-03,provider,review,12,,"quick one: the refund button does nothing, credits just disappeared not impressed",,credits_refund,0.8869427462237578
F00074,2026-02-24,provider,review,12,,"The refund button does nothing, credits just disappeared Please sort it out",,credits_refund,0.913227926359725
F00075,2025-11-24,customer,review,12,,"Hi, Booked a morning slot, waited 40 minutes, nobody came. No explanation",,provider_no_show,0.9340671540408659
F00076,2025-09-01,customer,review,13,,"So Was late again by half an hour, third time this month Cheers",,provider_no_show,0.9445519104734541
F00077,2026-02-24,provider,review,24,,"Update - No dust sheets, no mask, debris left all over a room with a baby in it Been using the site since November",,safety_issue,0.9260960729753963
F00078,2025-11-20,provider,survey,16,,just to say map view is blank on my phone since the last update not impressed,,app_bug,0.8632153705764307
F00079,2026-01-23,customer,review,15,,so nice enough but i didn't feel much had been done after ten hours cheers,,workmanship_quality,0.7216819349968195
F00080,2025-09-22,provider,review,16,,"getting enquiries from people who want work in three months, not now please sort it out",,needs_review,0.44019537659910013
F00081,2026-02-04,provider,support,14,,"Quick one: Login loop on Android, keeps sending me back to the start screen",,app_bug,0.8569235013316864
F00082,2025-10-20,provider,support,18,,"someone wanting an installation sent to me, i only do repairs, that's on you this was in z09",,lead_quality,0.9180259715136745
F00083,2026-02-03,customer,review,14,,"really thorough, explained the whole job clearly and finished ahead of time! otherwise fine",,workmanship_quality,0.9215752715916287
F00084,2026-02-12,customer,support,17,,"Sent three messages, no reply for a week Would appreciate a reply my number is [PHONE]",PHONE,provider_communication,0.8672254129951087
F00085,2025-10-14,customer,support,10,,"quick one: sent three messages, no reply for a week",,provider_communication,0.9478174846319537
F00086,2025-10-24,customer,review,14,,Update - Provider bought my lead but never contacted me Would appreciate a reply,,provider_communication,0.9056339887898662
F00087,2025-10-23,customer,review,17,,"update - brilliant at talking me through the options, i was dreading this and it was painless",,app_bug,0.5123433423364503
F00088,2026-01-31,provider,survey,14,,"fyi my balance went down by 9 and i didn't buy anything, what happened",,needs_review,0.47043654816891406
F00089,2025-09-05,provider,support,15,,FYI Top up went through on my card but the balance didn't change Not impressed,,credits_refund,0.8363119741044193
F00090,2025-12-05,customer,support,16,,"Feedback: Spent most of the visit on his phone, barely explained anything Would appreciate a reply",,workmanship_quality,0.9087021698257302
F00091,2026-01-07,customer,survey,16,,"Cancelled on me twice last minute, really unreliable This was in Z16 email me at [EMAIL]",EMAIL,provider_no_show,0.9102708487553505
F00092,2025-11-16,customer,support,13,,"FYI Still waiting for someone to call me back, it's been 5 days",,provider_communication,0.6155168490842969
F00093,2025-10-14,customer,review,20,,"Not happy. No dust sheets, no mask, debris left all over a room with a baby in it Not impressed",,safety_issue,0.944399221495702
F00094,2026-01-30,customer,support,10,,"just to say great tradesperson, tidy and methodical, highly recommend",,workmanship_quality,0.91795370745466
F00095,2025-12-26,provider,review,16,,Just to say Uploaded a new profile photo and it shows sideways Please sort it out,,app_bug,0.7362918036287046
F00096,2025-11-17,customer,support,17,,Not happy. Paid for the lead apparently but I never heard from anyone This was in Z26,,provider_communication,0.9025908184932963
F00097,2025-12-15,customer,support,17,,"left me waiting at the property in z10 all morning, no message nothing would appreciate a reply",,app_bug,0.5506232413733173
F00098,2025-12-16,provider,support,18,,"So Getting enquiries from people who want work in three months, not now Second time this has happened",,app_bug,0.6165324023116976
F00099,2025-12-07,customer,survey,14,,"Just to say Great tradesperson, tidy and methodical, highly recommend Please sort it out",,workmanship_quality,0.8650749702565905
F00100,2025-12-23,customer,support,11,,"not happy. sent three messages, no reply for a week cheers",,provider_communication,0.9092230845244712
F00101,2025-11-13,provider,review,14,,FYI Bought 13 leads this month and only one picked up the phone Cheers,,lead_quality,0.9041275276625167
F00102,2026-02-27,provider,review,20,,"was promised my money back for the fake enquiry, 12 days later still waiting not impressed email me at [EMAIL]",EMAIL,provider_no_show,0.8078460695683263
F00103,2025-12-11,provider,review,16,,"Honestly, Third enquiry this week where the person says they never filled anything in Not impressed",,lead_quality,0.6025979788612219
F00104,2026-01-08,customer,review,18,,nice enough but i didn't feel much had been done after ten hours second time this has happened,,workmanship_quality,0.5743802549067634
F00106,2025-11-18,provider,review,16,,"Update - Charged for a lead I never accepted, please refund my number is [PHONE]",PHONE,credits_refund,0.945114873508749
F00107,2026-01-22,provider,support,13,,"So Getting enquiries from people who want work in three months, not now",,needs_review,0.45006664975844896
F00109,2025-11-30,customer,support,18,,Paid for the lead apparently but I never heard from anyone Not impressed my number is [PHONE],PHONE,provider_communication,0.9211996141099313
F00110,2025-12-28,provider,review,12,,Feedback: Paid for a lead and the customer's number was disconnected Thanks,,lead_quality,0.9056675567084748
F00111,2025-09-26,provider,review,20,,"not happy. someone wanting an installation sent to me, i only do repairs, that's on you would appreciate a reply",,lead_quality,0.8501503093871852
F00112,2025-10-08,provider,review,16,,FYI Nobody got in touch after I filled in the form Second time this has happened,,provider_communication,0.910865025679894
F00113,2025-12-01,provider,survey,14,,Just to say Uploaded a new profile photo and it shows sideways Otherwise fine,,app_bug,0.7213336892143097
F00114,2025-10-01,provider,review,13,,"just to say isolation switch didn't seem to work properly, felt unsafe cheers",,safety_issue,0.9124681463825332
F00115,2026-02-25,customer,review,16,,"Honestly, Paid for the lead apparently but I never heard from anyone Would appreciate a reply",,provider_communication,0.9260961025326075
F00116,2025-09-23,provider,support,16,,"Quick one: My balance went down by 13 and I didn't buy anything, what happened Cheers",,app_bug,0.5247090845304647
F00117,2025-11-25,provider,review,17,,"Feedback: Lead was from Z03 which I don't even cover, why was it sent to me Cheers",,lead_quality,0.9244794920865115
F00118,2025-11-15,provider,review,15,,two refunds approved by email but nothing showing in the account would appreciate a reply,,credits_refund,0.9222452582341644
F00119,2025-11-26,customer,survey,16,,turned up 25 minutes into a one hour slot and still charged the full hour thanks,,price_dispute,0.7460155967047315
F00120,2026-01-25,provider,review,19,,"Lead was from Z24 which I don't even cover, why was it sent to me Would appreciate a reply",,lead_quality,0.905546754500199
F00121,2025-11-06,provider,support,11,,Quick one: Uploaded a new profile photo and it shows sideways,,app_bug,0.8040049768783705
F00122,2025-12-14,customer,survey,13,,"FYI Spent most of the visit on his phone, barely explained anything Thanks",,workmanship_quality,0.9326241023676868
F00123,2025-11-02,provider,survey,17,,"Can't update my coverage zones, the save button is greyed out Cheers my number is [PHONE]",PHONE,app_bug,0.9130835798565895
F00124,2025-10-06,provider,review,17,,quick one: map view is blank on my phone since the last update please sort it out,,app_bug,0.8436400346097482
F00125,2026-02-05,provider,support,21,,FYI Two refunds approved by email but nothing showing in the account Would appreciate a reply my number is [PHONE],PHONE,credits_refund,0.9053167331237815
F00126,2026-02-17,customer,support,22,,"Honestly, Would be nice to actually get a response from the person I was matched with Been using the site since December",,needs_review,0.21765866917567975
F00127,2026-02-23,provider,review,19,,Not happy. Bought 9 leads this month and only one picked up the phone Thanks email me at [EMAIL],EMAIL,lead_quality,0.858020277647576
F00128,2025-12-12,customer,review,21,,"Just to say Two appointments in a row moved at the last minute, I've lost a week Would appreciate a reply",,app_bug,0.8028400966834497
F00129,2026-01-12,provider,review,21,,"So Someone wanting an installation sent to me, I only do repairs, that's on you Otherwise fine email me at [EMAIL]",EMAIL,lead_quality,0.8637572173566963
F00130,2026-02-12,customer,survey,11,,"hi, lovely clean job, everything tested and certified before he left",,safety_issue,0.93765132051685
F00131,2025-10-15,customer,review,19,,"Was late again by half an hour, third time this month Would appreciate a reply email me at [EMAIL]",EMAIL,provider_no_show,0.8944520774738072
F00132,2025-11-06,provider,support,15,,Map view is blank on my phone since the last update This was in Z02,,app_bug,0.7818524120188036
F00133,2025-12-16,provider,review,16,,"honestly, quoted one price then asked for more once the work started please sort it out",,price_dispute,0.9195355488012107
F00134,2025-11-19,customer,review,17,,Turned up 25 minutes into a one hour slot and still charged the full hour Otherwise fine,,price_dispute,0.8199025994184035
F00135,2025-11-16,provider,support,15,,update - provider bought my lead but never contacted me second time this has happened,,provider_communication,0.9073215107849814
F00136,2025-09-16,provider,survey,15,,Not happy. Nice enough but I didn't feel much had been done after ten hours,,workmanship_quality,0.6428128113507879
F00137,2025-12-04,customer,review,15,,Update - Nice enough but I didn't feel much had been done after ten hours,,workmanship_quality,0.7188896820968327
F00138,2025-09-05,customer,support,9,,"cancelled on me twice last minute, really unreliable thanks",,provider_no_show,0.9474058474432355
F00139,2025-09-30,customer,survey,14,,"Honestly, Booked a morning slot, waited 40 minutes, nobody came. No explanation Otherwise fine",,provider_no_show,0.9014078503482447
F00140,2025-12-03,customer,review,16,,"Honestly, Got one text and then silence, no idea if I have a tradesperson or not",,provider_communication,0.6021047728927258
F00141,2025-11-07,provider,review,18,,"Update - Can't update my coverage zones, the save button is greyed out Second time this has happened",,app_bug,0.9617022393449786
F00142,2025-09-01,customer,review,22,,update - asked for cash up front for the full job then said the rate had gone up please sort it out,,price_dispute,0.688415382383647
F00143,2025-12-31,customer,support,11,,"Hi, Rates changed after the first day of work without warning",,price_dispute,0.9252486790482041
F00144,2026-02-28,provider,support,13,,not happy. map view is blank on my phone since the last update,,app_bug,0.9262132520713257
F00145,2025-11-03,customer,support,12,,Price on the profile said £36 but he charged £48 per hour,,price_dispute,0.9439970862131828
F00146,2025-12-10,customer,support,17,,feedback: price on the profile said £32 but he charged £44 per hour please sort it out,,price_dispute,0.9113904837144824
F00147,2025-09-07,customer,support,21,,"Just to say Filled in my details twice and heard nothing, is this site even active Cheers email me at [EMAIL]",EMAIL,needs_review,0.4703856225375291
F00148,2025-11-15,customer,survey,13,,"FYI Explains things in a way that actually makes sense, worth every penny",,workmanship_quality,0.9445089153818899
F00149,2025-09-29,customer,support,17,,Update - The multi-day discount on the profile turned out not to exist Would appreciate a reply,,app_bug,0.6706691465274582
F00150,2025-11-19,provider,review,19,,"FYI Was promised my money back for the fake enquiry, 6 days later still waiting Would appreciate a reply",,provider_no_show,0.7904623600932357
F00151,2026-01-30,customer,support,13,,"Hi, Expensive compared to what was advertised, felt misled Please sort it out",,price_dispute,0.5479243357988303
F00152,2025-09-04,customer,survey,12,,"Quick one: Felt rushed, didn't finish the sealing properly before leaving Thanks",,workmanship_quality,0.8516690959409546
F00153,2025-12-29,customer,support,17,,"update - booked a morning slot, waited 40 minutes, nobody came. no explanation please sort it out",,provider_no_show,0.8864437301273353
F00154,2026-02-21,customer,survey,16,,"Two appointments in a row moved at the last minute, I've lost a week Not impressed",,app_bug,0.5597463691449092
F00155,2025-11-04,provider,review,21,,"Update - The customer was actually two counties away, the address must have been typed wrong my number is [PHONE]",PHONE,lead_quality,0.7131524852327963
F00156,2026-02-21,provider,survey,14,,"the customer was actually two counties away, the address must have been typed wrong",,lead_quality,0.7506457369837576
F00157,2025-11-28,customer,review,21,,"still waiting for someone to call me back, it's been 8 days please sort it out my number is [PHONE]",PHONE,provider_communication,0.5149321948895971
F00160,2025-11-16,customer,review,20,,Asked for cash up front for the full job then said the rate had gone up Please sort it out,,price_dispute,0.6976556563954801
F00161,2025-12-20,customer,support,24,,"So Every visit had a clear plan and a recap at the end, finished in 8 days Otherwise fine my number is [PHONE]",PHONE,workmanship_quality,0.9076310977082535
F00163,2025-10-28,provider,review,19,,Update - The availability calendar doesn't keep my changes after I close it Been using the site since October,,app_bug,0.7434224671344654
F00164,2026-02-21,customer,survey,13,,"Snapped at me when I asked a question, made the whole thing uncomfortable",,needs_review,0.46642846459916715
F00165,2025-09-18,customer,support,19,,"FYI Snapped at me when I asked a question, made the whole thing uncomfortable Second time this has happened",,app_bug,0.6079555956837452
F00166,2025-09-08,provider,review,19,,FYI Customers keep saying they already found someone by the time I call Been using the site since October,,lead_quality,0.8807680583524673
F00167,2025-12-13,customer,support,17,,Nice enough but I didn't feel much had been done after ten hours Please sort it out,,workmanship_quality,0.6982933700808391
F00168,2025-12-21,customer,support,12,,"Honestly, Paid for the lead apparently but I never heard from anyone",,provider_communication,0.9599022307704651
F00170,2025-10-04,customer,survey,14,,Nobody got in touch after I filled in the form Please sort it out,,provider_communication,0.9258481212665404
F00171,2025-09-09,customer,survey,14,,"So Really thorough, explained the whole job clearly and finished ahead of time! Thanks",,workmanship_quality,0.9266056356704888
F00172,2025-11-23,customer,support,14,,"Hi, Was late again by half an hour, third time this month Otherwise fine",,provider_no_show,0.9292825594945752
F00173,2025-10-29,customer,support,8,,"great tradesperson, tidy and methodical, highly recommend cheers",,workmanship_quality,0.9468857747298913
F00174,2026-02-12,provider,survey,13,,"requested a refund for a dead lead 2 weeks ago, still nothing cheers",,lead_quality,0.527552570126342
F00175,2025-10-10,customer,support,17,,"So Booked a morning slot, waited 40 minutes, nobody came. No explanation Second time this has happened",,provider_no_show,0.8692256555229297
F00176,2025-12-08,provider,support,12,,The availability calendar doesn't keep my changes after I close it Cheers,,app_bug,0.8560752875853025
F00177,2026-02-11,provider,survey,20,,"Hi, Was promised my money back for the fake enquiry, 2 days later still waiting Second time this has happened",,provider_no_show,0.7360684379377784
F00178,2025-09-25,provider,support,18,,"login loop on android, keeps sending me back to the start screen been using the site since november",,app_bug,0.7741493809431836
F00179,2025-10-11,customer,survey,15,,Just to say Left exposed wiring behind the panel and said it would be fine,,safety_issue,0.9215041468678049
F00180,2025-09-09,provider,support,16,,"Honestly, The multi-day discount on the profile turned out not to exist Would appreciate a reply",,app_bug,0.6821590240084521
F00181,2025-10-27,customer,review,17,,"So Brilliant at talking me through the options, I was dreading this and it was painless Cheers",,needs_review,0.46955114609374304
F00182,2025-09-09,customer,support,16,,"just to say great tradesperson, tidy and methodical, highly recommend been using the site since january",,workmanship_quality,0.8658574037909732
F00183,2025-12-15,provider,survey,16,,"hi, the app crashes every time i open the leads tab second time this has happened",,app_bug,0.9498282818548569
F00184,2025-12-05,provider,support,14,,Quick one: Top up went through on my card but the balance didn't change,,credits_refund,0.7876150127561627
F00185,2025-12-19,customer,survey,21,,"Hi, Every visit had a clear plan and a recap at the end, finished in 4 days Please sort it out",,workmanship_quality,0.9044087605050136
F00187,2025-10-02,provider,support,12,,"update - customer never answered, wasted credits again would appreciate a reply",,lead_quality,0.8033880170467556
F00188,2026-01-17,provider,survey,13,,"Can't update my coverage zones, the save button is greyed out Not impressed",,app_bug,0.9463023335069507
F00189,2025-11-18,customer,support,13,,"Hi, Explains things in a way that actually makes sense, worth every penny",,workmanship_quality,0.9395459187774643
F00190,2025-11-29,customer,review,20,,"Hi, Brilliant at talking me through the options, I was dreading this and it was painless This was in Z30",,needs_review,0.3847389848391691
F00191,2025-09-30,provider,review,22,,"feedback: requested a refund for a dead lead 2 weeks ago, still nothing second time this has happened email me at [EMAIL]",EMAIL,lead_quality,0.669862690571832
F00192,2026-02-25,provider,support,13,,"Same customer sent to me twice, charged twice Second time this has happened",,price_dispute,0.6224732897297098
F00193,2025-09-11,customer,support,17,,"Hi, Lovely clean job, everything tested and certified before he left Been using the site since January",,safety_issue,0.8970564119596602
F00194,2025-10-01,customer,review,15,,"not happy. filled in my details twice and heard nothing, is this site even active",,app_bug,0.5704924203000121
F00195,2025-12-10,provider,support,20,,"Not happy. Booked a morning slot, waited 40 minutes, nobody came. No explanation Otherwise fine my number is [PHONE]",PHONE,provider_no_show,0.8172507212399642
F00196,2026-01-04,customer,support,20,,"hi, would be nice to actually get a response from the person i was matched with please sort it out",,needs_review,0.284608039467052
F00197,2025-09-05,provider,review,10,,"hi, uploaded a new profile photo and it shows sideways",,app_bug,0.787830379728244
F00198,2025-10-16,customer,review,10,,"honestly, sent three messages, no reply for a week thanks",,provider_communication,0.9462087548597203
F00199,2026-02-13,provider,support,19,,"Quick one: Getting enquiries from people who want work in three months, not now Cheers email me at [EMAIL]",EMAIL,needs_review,0.44491275788900575
F00200,2025-09-19,provider,review,10,,"So The refund button does nothing, credits just disappeared Thanks",,credits_refund,0.9143677651105268
F00201,2025-09-17,customer,review,17,,so price on the profile said £31 but he charged £42 per hour email me at [EMAIL],EMAIL,price_dispute,0.8738424879255436
F00202,2025-12-25,provider,support,9,,FYI Notifications arrive hours late so I miss leads,,provider_no_show,0.8486306465354336
F00203,2025-11-29,provider,support,16,,Feedback: He simply didn't show up on Saturday and went quiet afterwards Please sort it out,,provider_no_show,0.5113410215304974
F00204,2026-01-25,provider,support,20,,"feedback: booked a morning slot, waited 40 minutes, nobody came. no explanation this was in z13 email me at [EMAIL]",EMAIL,provider_no_show,0.9242830222935506
F00205,2026-02-23,provider,support,11,,"So The refund button does nothing, credits just disappeared Not impressed",,credits_refund,0.9165600762160732
F00206,2025-12-11,customer,support,15,,Not happy. Price on the profile said £31 but he charged £42 per hour Thanks,,price_dispute,0.8836035897517579
F00207,2025-11-06,provider,support,12,,Just to say Notifications arrive hours late so I miss leads Cheers,,provider_no_show,0.6708673727262792
F00208,2025-10-04,customer,support,14,,"Not happy. Great tradesperson, tidy and methodical, highly recommend Second time this has happened",,workmanship_quality,0.7992944843653383
F00210,2025-11-23,provider,review,18,,Just to say The availability calendar doesn't keep my changes after I close it Would appreciate a reply,,app_bug,0.902660304683021
F00211,2026-02-08,provider,review,21,,"Not happy. Was promised my money back for the fake enquiry, 14 days later still waiting Second time this has happened",,provider_no_show,0.6931446880000621
F00213,2025-09-17,provider,review,11,,"Isolation switch didn't seem to work properly, felt unsafe Otherwise fine",,safety_issue,0.9254893658771095
F00214,2026-01-26,customer,support,12,,"Feedback: Site left spotless and every connection checked, felt genuinely professional Cheers",,safety_issue,0.6559038499679731
F00215,2026-02-10,provider,support,11,,"FYI Customer never answered, wasted credits again Would appreciate a reply",,lead_quality,0.8097717350638314
F00216,2025-11-27,provider,review,13,,"So Was late again by half an hour, third time this month Thanks",,provider_no_show,0.9500246561255108
F00217,2025-11-14,provider,survey,20,,Update - Customers keep saying they already found someone by the time I call Been using the site since October,,lead_quality,0.8803084628104549
F00218,2026-01-09,customer,survey,17,,"Feedback: Every visit had a clear plan and a recap at the end, finished in 12 days",,workmanship_quality,0.9041095750760805
F00219,2025-09-11,customer,support,16,,So He simply didn't show up on Saturday and went quiet afterwards Would appreciate a reply,,needs_review,0.4577927759484515
F00220,2025-10-30,customer,support,13,,"Booked a morning slot, waited 40 minutes, nobody came. No explanation Not impressed",,provider_no_show,0.9195677305123845
F00221,2025-10-27,customer,support,18,,"no dust sheets, no mask, debris left all over a room with a baby in it not impressed",,safety_issue,0.9549110918166661
F00222,2025-09-06,provider,review,17,,Not happy. Two refunds approved by email but nothing showing in the account Please sort it out,,credits_refund,0.9327342798689885
F00223,2026-01-03,customer,support,22,,"Filled in my details twice and heard nothing, is this site even active Second time this has happened email me at [EMAIL]",EMAIL,app_bug,0.5605555433254225
F00224,2025-11-27,provider,review,20,,"So Left me waiting at the property in Z26 all morning, no message nothing Cheers my number is [PHONE]",PHONE,needs_review,0.3664275214345026
F00225,2025-12-29,customer,survey,12,,Quick one: Rates changed after the first day of work without warning,,price_dispute,0.9164911927279676
